fold,model,params,roc_auc,accuracy,precision,recall,f1
2,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.5216793469536528,0.5190597978321764,0.5048133886255924,0.4280421951525807,0.4632687733605165
2,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.522017597881513,0.5193033735233223,0.5051247771836007,0.4270375486625644,0.4628104797550187
3,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.5148638358038489,0.5109681626845319,0.5142455153007387,0.43249319607147085,0.46983963749718805
3,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.5159016240119175,0.5105235074405644,0.5137150091433395,0.43213820849603596,0.46940874035989716
3,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.5204175361387701,0.502845793561392,0.5078640893264498,0.25026624068157616,0.3353018112639214
3,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.5214867625684273,0.503379379854153,0.5090709850237428,0.24736717548219145,0.3329484371889309
3,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.518935668990733,0.5060769550008893,0.5108754758020664,0.3335108271210508,0.40356529209621994
3,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.518191401432683,0.5066994723424438,0.5118539376873468,0.33339249792923914,0.40378345455196873
3,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.5162286707976153,0.5059583802691646,0.5095857026807473,0.3711395101171459,0.4294810351910174
3,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.5189822533769937,0.5089227485622814,0.5138135175135669,0.36971955981540644,0.4300165152766309
3,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.5135398715526499,0.5067587597083062,0.50924818904283,0.4284108389539699,0.465344943928537
3,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.515978472607467,0.5086263117329697,0.511659513590844,0.42320435451425864,0.4632471990156078
3,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.5209391912807133,0.5040315408786388,0.5104484907735549,0.2471305170985682,0.3330277058002791
3,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.5204534278740833,0.5023714946344934,0.5070961372331235,0.24310732457697315,0.32865426914617074
3,rf,"{""n_estimators"": 400, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.5184182213120323,0.50583980553744,0.5106774668630338,0.3282451780854337,0.39962544118706333
3,rf,"{""n_estimators"": 400, ""max_depth"": 12, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.5198524812068047,0.5051876445129543,0.5097114317425083,0.3260560880369187,0.39770513098073174
3,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.5165559847238363,0.506195529732614,0.5099819996727213,0.3687729262809135,0.4280318637549787
3,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.518433775217503,0.5079445070255528,0.5125528212776534,0.36599219027334046,0.42704773739256496
4,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.5089849312770921,0.5060799253615301,0.506528980679547,0.4728821992785172,0.4891276376737005
4,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.5120494143888006,0.5062354221738454,0.5064443731965373,0.49123025251897,0.49872130836990497
