fold,model,params,roc_auc,accuracy,precision,recall,f1
2,tree,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.5146016586762243,0.5062720740470101,0.4927391086629945,0.6178575913600401,0.5482505014486294
2,tree,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.5146016586762243,0.5062720740470101,0.4927391086629945,0.6178575913600401,0.5482505014486294
2,tree,"{""max_depth"": 5, ""min_samples_leaf"": 10}",0.5146016586762243,0.5062720740470101,0.4927391086629945,0.6178575913600401,0.5482505014486294
2,tree,"{""max_depth"": 8, ""min_samples_leaf"": 1}",0.5147295851274077,0.5154975033491658,0.5007047598395316,0.28996609318096195,0.3672511829496203
2,tree,"{""max_depth"": 8, ""min_samples_leaf"": 5}",0.5149109287031312,0.5156192911947388,0.500924013479726,0.2893381891247018,0.36680597014925376
2,tree,"{""max_depth"": 8, ""min_samples_leaf"": 10}",0.5137963488986189,0.5153452685421995,0.5004342162396873,0.2894637699359538,0.36677539979314183
2,tree,"{""max_depth"": 12, ""min_samples_leaf"": 1}",0.5124664230180199,0.5047801729387407,0.48926331791980743,0.48499309305538113,0.4871188471604705
2,tree,"{""max_depth"": 12, ""min_samples_leaf"": 5}",0.5133820947832418,0.5057849226647181,0.4902943415376808,0.48530704508351125,0.4877879457242032
2,tree,"{""max_depth"": 12, ""min_samples_leaf"": 10}",0.5106141839926197,0.5042930215564486,0.4887579960732155,0.484553560215999,0.48664669714646064
2,tree,"{""max_depth"": 16, ""min_samples_leaf"": 1}",0.5060001228194883,0.5052064303982463,0.48966350741047004,0.4833605425091046,0.4864916105792018
2,tree,"{""max_depth"": 16, ""min_samples_leaf"": 5}",0.5071823606036294,0.505541346973572,0.48994878361075545,0.48053497425593367,0.4851962213909846
2,tree,"{""max_depth"": 16, ""min_samples_leaf"": 10}",0.5032972738453116,0.5039276580197296,0.4882575030396109,0.4790907949265352,0.48363071657211676
3,tree,"{""max_depth"": 3, ""min_samples_leaf"": 1}",0.49098680704029446,0.4912847572182368,0.41661300708306503,0.03827949355105904,0.07011649959360607
3,tree,"{""max_depth"": 3, ""min_samples_leaf"": 5}",0.49098680704029446,0.4912847572182368,0.41661300708306503,0.03827949355105904,0.07011649959360607
3,tree,"{""max_depth"": 3, ""min_samples_leaf"": 10}",0.49098680704029446,0.4912847572182368,0.41661300708306503,0.03827949355105904,0.07011649959360607
3,tree,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.5024598633314707,0.49217406770617184,0.42381902860944776,0.037687847592000945,0.06922032056506384
3,tree,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.5024018920804028,0.49217406770617184,0.42371752165223187,0.037628682996095134,0.06911916535347498
3,tree,"{""max_depth"": 5, ""min_samples_leaf"": 10}",0.5024018920804028,0.49217406770617184,0.42371752165223187,0.037628682996095134,0.06911916535347498
3,tree,"{""max_depth"": 8, ""min_samples_leaf"": 1}",0.5069922625981221,0.48929863046184857,0.4542905215928211,0.09584664536741214,0.15829587649013094
3,tree,"{""max_depth"": 8, ""min_samples_leaf"": 5}",0.5032251769932509,0.48734214738839154,0.4473966720343532,0.09862738137498521,0.1616249757611014
3,tree,"{""max_depth"": 8, ""min_samples_leaf"": 10}",0.5043565803797153,0.48796466472994604,0.4484865315190225,0.0955508223878831,0.1575379212798127
