fold,model,params,mae,rmse,r2
3,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0014748188841994267,0.002833857052278904,-0.008504420228517606
3,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0014769794327593113,0.0028377355290497668,-0.011266830293044539
3,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.00147833755806367,0.0028429509759302263,-0.014987441385827971
3,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.00148186548132711,0.0028576524116381606,-0.025511966353619187
3,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0014815045779851643,0.002855174597045609,-0.02373433456983376
3,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0014937976756735135,0.002865930539864451,-0.0314620361177298
3,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.001488101062081236,0.002858338715370537,-0.02600460653777059
3,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.001473873439127845,0.0028299889976002046,-0.005753196097618485
3,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0014740509795264942,0.0028314117871144806,-0.006764744069790218
3,rf,"{""n_estimators"": 400, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0014770814083888396,0.0028397617360835445,-0.012711480418103438
3,rf,"{""n_estimators"": 400, ""max_depth"": 12, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0014779362039530491,0.002841456752630192,-0.013920789629760177
3,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0014805425298611548,0.002853220495572266,-0.02233351221589097
3,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0014808134352792433,0.0028528502241146705,-0.02206818651948761
4,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.001237473987153494,0.0023076682502838736,-0.04162850555435216
4,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.001225615252095445,0.0022882437359955923,-0.024166747044032988
4,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0012119189162558875,0.0022705128386840143,-0.008356333711986519
4,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0012099631424468459,0.0022650181470857123,-0.003481749622924468
4,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.001216443699774821,0.0022778085832379615,-0.014846964031457688
4,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0012128332167597204,0.002270918663811735,-0.008716827519409165
4,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0012205360936404733,0.002281871216904913,-0.018470295914444934
4,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0012160113852672336,0.0022767695828557976,-0.01392134990565319
4,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0012346470024723053,0.0023001948760463056,-0.03489281065127825
4,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0012250420065640956,0.0022866344699651706,-0.022726710586940202
4,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.001211955053801265,0.0022694343352732474,-0.007398613993944592
4,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.00121017524715359,0.0022650971903958434,-0.0035517887113569735
4,rf,"{""n_estimators"": 400, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0012170307844458761,0.0022779254216411457,-0.014951078258336192
4,rf,"{""n_estimators"": 400, ""max_depth"": 12, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0012128318602066623,0.0022705305525938975,-0.008372067604874633
4,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0012194576014687127,0.002281255028080389,-0.017920321598317024
4,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0012157360410137248,0.0022768000771525797,-0.013948510340199283
5,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0013770415406306373,0.0024102844712983506,-0.04217627871625362
5,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0013678586419729212,0.0023889204129893854,-0.023783064711795143
5,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0013520979373410381,0.002374212810065479,-0.011215845131634206
5,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0013530890064851037,0.0023749318336394984,-0.011828425542502297
5,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0013552288322429833,0.0023814273834750275,-0.017370790806376046
5,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0013557882502293647,0.002382449664816586,-0.01824443693493505
5,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0013585949072988939,0.0023892948631569007,-0.024104034621424963
5,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0013587282705785522,0.0023836424817567214,-0.01926429752813008
5,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0013737071877078836,0.002408596695158141,-0.040717243957979266
5,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0013668079710423304,0.0023912009493272713,-0.025738666825599887
5,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.001352033699071661,0.0023709496245262296,-0.008438067798582916
5,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.001352738150244555,0.0023714930598115066,-0.008900400383089258
5,rf,"{""n_estimators"": 400, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0013549687245715725,0.0023784126039562187,-0.014796530336703695
5,rf,"{""n_estimators"": 400, ""max_depth"": 12, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0013553000554817568,0.0023786772756103683,-0.015022397640130913
5,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0013583524509832594,0.0023895654977978344,-0.024336047613008116
5,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0013583654900819855,0.0023855329093653544,-0.020881662093465314
6,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0012661834473501458,0.002919688085751285,-0.005383326242332842
6,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0012511515538564178,0.002902243625077077,0.006594649166521749
6,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0012460694959003638,0.0029043409801899948,0.005158328231576026
6,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0012374142340154752,0.002901213613256596,0.007299646964647466
6,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0012448547010073673,0.0029080039911093085,0.002647318714292912
6,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0012367155226973845,0.002899097958792853,0.008746934509532345
6,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.00124597839373277,0.0028991371279811075,0.008720149046763104
6,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.001238179584849249,0.0029017335899957863,0.006943777030022469
6,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0012625608562622968,0.0029146344449833246,-0.0019059349329140218
6,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.001250092650277458,0.0029039066245905927,0.005455870938404606
6,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0012453792210995014,0.0029028393173711553,0.006186809771002166
6,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.001237341616547108,0.0029015543169207277,0.007066477986441777
6,rf,"{""n_estimators"": 400, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0012449529211575135,0.002909030903296194,0.0019427980434462144
6,rf,"{""n_estimators"": 400, ""max_depth"": 12, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.001235964210926258,0.0028972213345810956,0.010029821435107111
6,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0012459701757215472,0.0028955165406643604,0.0111945226459228
6,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.001237460670077391,0.002897634973497139,0.00974712337656991
7,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0011903377569494802,0.001986647576231683,-0.018907766775080992
7,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0011831943074080095,0.001973048732027909,-0.0050064133082077245
7,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.001176530602778802,0.001976281421369922,-0.00830236336101886
7,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0011752576169091497,0.001966616201003866,0.001535945902491287
7,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0011775556247909116,0.0019800766942314864,-0.012178792145365103
7,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0011744045551091503,0.0019634738909203703,0.0047241400071073025
7,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0011774139496828664,0.0019808277953847022,-0.012946835981809013
7,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.001174231371570977,0.0019618240983976538,0.006395981778589799
7,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0011872777046805613,0.0019817475818278705,-0.013887766923122102
7,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0011814807942110749,0.0019691303089008397,-0.0010185442947796552
7,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0011760325063891743,0.0019746137870363034,-0.006601421192636181
7,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0011746587751112457,0.001964294424203432,0.003892117118805438
7,rf,"{""n_estimators"": 400, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0011759255283088272,0.001973169969094296,-0.005129925485803488
7,rf,"{""n_estimators"": 400, ""max_depth"": 12, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0011742533845173154,0.0019631412299409385,0.00506136007054292
7,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.001176421828319935,0.0019746986320615064,-0.0066879261672807555
7,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0011743547922943675,0.0019607865584201013,0.007446668521751576
8,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0013699643593895192,0.0023854445379267635,-0.06850310787458502
8,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0013598586778452032,0.002352502493415964,-0.03919566727954438
8,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0013480149202730394,0.0023433782610183065,-0.031150213559297812
8,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0013447043591419475,0.002325917795398166,-0.015841299865269054
8,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0013496245510381288,0.002348316744599061,-0.035500927494011236
8,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0013476782642503505,0.0023316323072610267,-0.020839041680456694
8,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0013558801901595355,0.0023786290741833454,-0.06240618055765457
8,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0013528082019951698,0.002353829522889622,-0.040368403323275626
8,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0013657751477516768,0.002377348458234375,-0.061262523424317816
8,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0013583611711584739,0.002353797893872554,-0.04034044411163018
8,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0013455704322032087,0.00233275284150134,-0.021820465689931456
8,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0013437483047206557,0.002323016498532502,-0.01330860587719207
8,rf,"{""n_estimators"": 400, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.001348519690588034,0.0023447426958851914,-0.03235134008954921
8,rf,"{""n_estimators"": 400, ""max_depth"": 12, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0013469125766952432,0.0023323004621296803,-0.021424190807309396
8,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0013536627912394187,0.0023671695902416417,-0.0521941639436585
8,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0013520560710749564,0.0023544238189730695,-0.0408938151376117
9,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.001261358466739258,0.0020246345643527316,-0.09451685922480713
9,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0012511463042297853,0.002001896595030838,-0.07007062872360836
9,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.001233776522907541,0.0019569264084367288,-0.022534924011848867
9,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.001232388505519685,0.001953409372433601,-0.01886277726722163
9,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0012415062839971525,0.001986518446441596,-0.05369365846717633
9,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0012370965661519147,0.001969328013446352,-0.03553618556883409
9,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.001244747057546305,0.0019980580416333288,-0.0659709312115424
9,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0012425156717521951,0.001987304572898463,-0.054527781465578684
9,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.001257878889714221,0.002017498295885696,-0.0868147277810214
9,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0012492245973499039,0.0019971547305312576,-0.06500730984027414
9,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0012329817779086793,0.001954209143124153,-0.01969723972958226
9,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.001231517553938193,0.0019500310472111689,-0.015341678782262003
9,rf,"{""n_estimators"": 400, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0012387440335515688,0.001973845548203422,-0.04029256571725326
9,rf,"{""n_estimators"": 400, ""max_depth"": 12, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0012361547441939668,0.0019668813361484686,-0.032964700287835935
9,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0012433684221614264,0.0019902803443542527,-0.057688226165925505
9,rf,"{""n_estimators"": 400, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0012410856306761615,0.0019829655739817785,-0.04992798344665417
10,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0011632863958790246,0.0022460326041596947,-0.03969383734653298
10,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0011551984304295551,0.00222562132845471,-0.020882845655405324
10,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0011396427284210873,0.002201571879131558,0.001060708412508271
10,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0011411396285147266,0.0022086170724783276,-0.005342880887953871
10,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0011449808658489753,0.002205025735452417,-0.0020760496230951553
10,rf,"{""n_estimators"": 200, ""max_depth"": 12, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0011445179019699764,0.0022118503456282452,-0.008288549904405418
10,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0011486706882201136,0.002217990893734056,-0.013894750806938472
10,rf,"{""n_estimators"": 200, ""max_depth"": 16, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0011466579451317894,0.0022188382433092767,-0.014669584821193071
10,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0011596229464745172,0.002236762612522546,-0.031129345519016027
10,rf,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0011537442586097438,0.0022260438047647904,-0.021270458541364334
10,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.0011396541719553603,0.00219734623886161,0.004891704935274688
10,rf,"{""n_estimators"": 400, ""max_depth"": 8, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.0011398924815011725,0.002203247756541914,-0.00046069271628801367
