model,roc_auc_mean,roc_auc_sd,f1_mean,f1_sd,accuracy_mean,accuracy_sd,folds
logreg,0.5043099935377667,0.0065698981991912445,0.39194683482964404,0.049154288835509666,0.505386516810245,0.006274671216704459,11
rf,0.5137332143681743,0.005791156050817286,0.446898198140571,0.04408945053046008,0.5092524728780797,0.005361304291448496,11
tree,0.5092317244914332,0.006054408200150619,0.4012230830678197,0.18419022142938984,0.5059497500983042,0.007339582279765888,11
