symbol,model,mae,rmse,r2,n_obs
CFG,rf,0.0009656934932971111,0.001512280984097764,0.04864992397578127,229
CHD,rf,0.000729675649321491,0.0012414709346782406,0.01598651769141468,172
CHRW,rf,0.0010251315557133554,0.0015913359944885388,0.026786696860746084,194
CI,rf,0.0007544450166033879,0.0013373773532577371,-0.012448118705605582,120
CINF,rf,0.0008556842480144518,0.0012992056337533698,0.049985991464404855,137
CL,rf,0.0005788619839700899,0.001019672777431831,0.048328765896703874,223
CLX,rf,0.0009764620331060034,0.0016224836179869475,0.02621896412569058,153
CMCSA,rf,0.0008306704646748207,0.001346385967547905,0.05196061757822612,233
CMG,rf,0.0016908862072111087,0.0028196516410216492,0.02260352509329333,60
CMI,rf,0.0008736866707685205,0.0012199660123284944,0.009817264032710882,178
CMS,rf,0.0008188060959094016,0.0012387693166436584,0.021028986035130814,208
CNC,rf,0.0006924309674613048,0.0011278523054548096,0.0544764861965612,227
CNP,rf,0.0008357008496334274,0.0012964965775969677,0.009411659033060849,232
COF,rf,0.0010033032328543758,0.0017691081512154294,0.07296146645110846,212
COIN,rf,0.0037739552714254297,0.005433965771114603,0.08530634935219361,221
COO,rf,0.0009038285870443193,0.0013143747430648012,0.01626177336282386,155
COP,rf,0.0007423696244878658,0.0013097867289182628,0.10226817459166593,230
COR,rf,0.0008358751512740458,0.0013545885510094367,0.0030232166672067295,153
COST,rf,0.0006933795877090178,0.0009908239913187214,0.03767365071792095,142
CPAY,rf,0.0012372948378171133,0.0019534113317230045,-0.012640500307017799,111
CPB,rf,0.0008536817652109268,0.0015690458874374252,0.050991439109031256,214
CPRT,rf,0.0007360360390887,0.0011849993336916025,0.038313787570055435,230
CPT,rf,0.0008914240958455816,0.0013358401835073528,0.06756575504633733,182
CRL,rf,0.00155690265764956,0.002060944622436352,-0.019044949810575362,97
CRM,rf,0.0009958289920192038,0.0015593776113214505,-0.011488536963713436,232
CRWD,rf,0.0015549959802448206,0.0023835408255616346,-0.00202161155401015,207
CSCO,rf,0.0005015004823340421,0.0007262639681375483,0.07442644590921377,233
CSGP,rf,0.0011082628690998158,0.0018524462697083164,0.015327294979682327,125
CSX,rf,0.0009473399261348685,0.001434998404816341,0.0023039956636327075,233
CTAS,rf,0.002748941083047111,0.007672770130434681,-0.00046749056293360347,103
CTRA,rf,0.0008085214075957535,0.0011206674149565627,0.037782750827834555,224
CTSH,rf,0.0007365670408009237,0.0011600418652132254,0.003438058123971577,217
CTVA,rf,0.0008254662944994403,0.0012444278825265828,0.05261485739497329,219
CVS,rf,0.0007957723939294975,0.0012508727820147378,0.0847214920293563,229
CVX,rf,0.0006873308312326836,0.001015151383783465,0.08499758038098448,222
CZR,rf,0.0015282493992708273,0.0024258709723190648,0.008513747797316173,227
D,rf,0.0012152501764486861,0.0017881528988606867,0.00497213937626062,230
DAL,rf,0.000919008017651256,0.0012971778786213743,-0.001008111184379601,232
DASH,rf,0.00118517912785457,0.0017936790244820985,-0.0060507983936584075,225
DAY,rf,0.0010150382415811143,0.0016693932156810214,0.011608490209452538,206
DD,rf,0.0005564488833641482,0.0008970770914686426,0.039306515685715526,229
DDOG,rf,0.0013454242528371523,0.00198707203059405,-0.01514672055530597,221
