model,mae_mean,mae_sd,rmse_mean,rmse_sd,r2_mean,r2_sd,folds
ridge,0.0012352369185048854,0.00010886410757684844,0.0022458524367387654,0.0003391632527942533,-0.0035103654807347308,0.0031462518990105835,11
rf,0.0012423126662766603,0.000109001525390182,0.002265152325294443,0.0003304530856961371,-0.02227434470664868,0.02512862733051901,11
