model,roc_auc,accuracy,precision,recall,f1,n_obs_test
logreg,0.5080025601552565,0.5060056729972335,0.4933111328012861,0.2041485494333167,0.28878730841624095,85669
rf,0.5259858892262694,0.5187990988572295,0.5151408821362153,0.3488250528666809,0.4159748392032414,85669
tree,0.5068151344725211,0.5050601734583104,0.4952659510312387,0.39026302658778245,0.4365390493149593,85669
