symbol,model,roc_auc,accuracy,precision,recall,f1,n_obs
BRO,logreg,0.5872478678759985,0.4941860465116279,0.45652173913043476,0.25301204819277107,0.32558139534883723,172
BSX,logreg,0.4851654057261534,0.45064377682403434,0.375,0.023809523809523808,0.04477611940298507,233
BX,logreg,0.5710628531073446,0.5607476635514018,0.55,0.11458333333333333,0.1896551724137931,214
BXP,logreg,0.4817705658827155,0.4898989898989899,0.43902439024390244,0.3956043956043956,0.4161849710982659,198
C,logreg,0.4750884433962263,0.4358974358974359,0.3,0.0234375,0.043478260869565216,234
CAG,logreg,0.5343122786304605,0.5364806866952789,0.8333333333333334,0.044642857142857144,0.0847457627118644,233
CARR,logreg,0.5225368966892701,0.5178571428571429,0.6,0.027522935779816515,0.05263157894736842,224
CAT,logreg,0.4962459415584416,0.475,0.6296296296296297,0.15178571428571427,0.2446043165467626,200
CB,logreg,0.520476545048399,0.5121951219512195,0.4915254237288136,0.3670886075949367,0.42028985507246375,164
CBOE,logreg,0.5330735201179693,0.558974358974359,0.5588235294117647,0.40425531914893614,0.4691358024691358,195
CBRE,logreg,0.4821251241310824,0.5,0.39436619718309857,0.3684210526315789,0.38095238095238093,182
CCL,logreg,0.4632959905660377,0.5384615384615384,0.46875,0.14150943396226415,0.21739130434782608,234
CDNS,logreg,0.43024118738404454,0.4897959183673469,0.42424242424242425,0.2,0.27184466019417475,147
CDW,logreg,0.43540916109109623,0.472,0.4375,0.4827586206896552,0.45901639344262296,125
CEG,logreg,0.4956923558897243,0.4778761061946903,0.46774193548387094,0.2543859649122807,0.32954545454545453,226
CFG,logreg,0.5101701323251417,0.5043478260869565,0.5555555555555556,0.043478260869565216,0.08064516129032258,230
CHD,logreg,0.4659090909090909,0.4682080924855491,0.4461538461538462,0.3411764705882353,0.38666666666666666,173
CHRW,logreg,0.5175715488215489,0.5025641025641026,0.5138888888888888,0.37373737373737376,0.4327485380116959,195
CI,logreg,0.4816839803171132,0.45454545454545453,0.3888888888888889,0.11290322580645161,0.175,121
CINF,logreg,0.4651905471577603,0.4420289855072464,0.5,0.2727272727272727,0.35294117647058826,138
CL,logreg,0.5170868347338935,0.5267857142857143,0.42857142857142855,0.02857142857142857,0.05357142857142857,224
