symbol
A
ACGL
ADP
AFL
ALB
AMCR
AMT
APA
ARE
AWK
BAC
BEN
BKNG
BR
BXP
CAT
CCL
CFG
CINF
CMG
COF
COST
CRL
CSX
CVS
DASH
DECK
DHR
DOV
DUK
EBAY
EIX
ENPH
EQT
ETR
EXPD
FAST
FFIV
FOX
FTV
GEN
GM
GPN
HAS
HII
HPQ
HUBB
IDXX
INTU
IR
IVZ
JKHY
KEY
KLAC
KR
LH
LLY
LULU
LYV
MCD
MDT
MKC
MNST
MPWR
MSFT
MU
NEM
NOW
NUE
NXPI
ON
PANW
PEG
PGR
PLTR
PODD
PSA
QCOM
RJF
ROP
SBAC
SLB
SPG
STT
SWKS
TAP
TER
TMO
TRMB
TSN
TXT
UHS
URI
VLTO
VST
WAT
WEC
WMT
WY
XYZ
