y_true,y_pred,y_pred_proba
0,1,0.5205902346440664
0,1,0.5179729092155181
1,1,0.5401387130841561
1,1,0.5114230790871909
1,0,0.44209055097345584
1,1,0.5436200707019031
1,1,0.5584040120160162
0,1,0.5311270604419233
0,0,0.4879503466176927
0,0,0.48477525102256713
1,0,0.48360923687209306
1,1,0.5406489496023145
1,1,0.5767282889427037
1,1,0.5686036790884047
1,0,0.4934288891837148
1,1,0.5077401650689878
1,1,0.5258471163931102
0,0,0.4939599142794966
0,1,0.5257103291786677
0,1,0.542470652062914
1,1,0.515124850109802
0,1,0.585987297270313
1,1,0.532740626314529
0,1,0.5421921596929709
1,0,0.4850764106113833
0,0,0.417625919122264
1,1,0.5376340670444917
0,1,0.5349595756218385
0,1,0.5099591215665408
1,1,0.5761770103033481
0,1,0.5183467358665972
0,1,0.524804351966335
1,1,0.5194336366297665
1,1,0.5478007509721291
0,1,0.5440015195942282
1,0,0.49617259475991377
1,1,0.5429328168120453
1,1,0.5271541314733184
1,1,0.545040610463402
0,1,0.5321192833315909
1,1,0.5430259770114969
1,1,0.5440803172690983
0,0,0.4887228150497204
0,1,0.5195867202397344
1,0,0.4967891693307719
0,1,0.5332042793852604
1,1,0.5498905351563852
0,1,0.5230234714696096
1,1,0.5034663833773316
0,1,0.577853042400054
0,1,0.527990600767477
0,1,0.5499822434620204
0,0,0.48472207601383793
0,0,0.44022410216296665
0,1,0.5201214380980278
1,0,0.4609897757578835
0,1,0.5564623075750499
1,1,0.5609305093065846
1,1,0.5451119444834809
0,1,0.5463203623307432
1,1,0.552279922321235
1,1,0.5253453599921716
0,0,0.4705053962708676
0,0,0.4899842752562982
0,1,0.5040665768511156
0,0,0.4358220813454819
0,1,0.6018533785662878
0,1,0.5701870732525043
1,1,0.5838723803915493
1,0,0.4946212634038907
1,1,0.5347784280889939
0,1,0.5627598096358138
0,1,0.5280806670219178
0,1,0.5063970953867153
0,1,0.5225356394374036
1,1,0.5226901715894443
0,1,0.553439510142003
0,1,0.5654057817365478
1,1,0.5511137273866151
1,1,0.5221292450024293
1,1,0.5835592874476734
1,1,0.5329713903834472
1,1,0.5313065112763197
1,0,0.49032974120845807
1,1,0.5074347358158747
1,1,0.5179107758852093
0,1,0.5378087815309727
0,1,0.5269994725432309
1,1,0.5288018244427942
1,1,0.5662679515772429
1,1,0.5524764794848704
0,1,0.5342464819351157
1,0,0.4470968385568802
0,0,0.477523124510273
0,1,0.5058109121177286
0,1,0.5380572176756788
1,1,0.52758341079038
1,1,0.5500255699810643
1,1,0.5492970576346
1,0,0.2448139212881354
0,0,0.39397336713668163
0,1,0.509036510213632
1,1,0.5458527145315184
1,0,0.4856369311110813
0,0,0.41015400426232845
0,0,0.4890332752872726
1,1,0.5037726544463993
1,0,0.4920755655494904
0,0,0.4996482435443809
1,1,0.5157275018994131
1,1,0.5100216633331848
1,0,0.46208866140717375
0,1,0.5276264306523261
1,0,0.49630594153305174
1,1,0.5362680563646391
0,0,0.49534205858080754
1,1,0.571484696035899
1,1,0.5063023233853889
1,1,0.5394648213147464
0,1,0.530809070916882
1,1,0.5247931842354207
1,1,0.5077866507955623
0,1,0.528068631410786
0,1,0.5818012874895939
1,1,0.5543210411981783
1,0,0.49252240491639543
0,1,0.5222073018510165
1,1,0.5145048141306185
1,0,0.48603397388425834
1,0,0.4953298794462258
1,1,0.5200279445198406
0,1,0.5123814629567506
0,1,0.5285378757523285
1,0,0.4327446398543151
0,0,0.46219799517809534
0,0,0.4943398500097285
0,1,0.5346120091009906
1,1,0.5042547791030116
0,1,0.5782354146666058
1,1,0.5327501210904163
0,1,0.5499059417723712
0,1,0.544367588457074
0,1,0.5564133973730585
1,1,0.5362791782518425
1,1,0.5396805536695133
1,1,0.5326055791560084
0,1,0.5768680490247275
1,1,0.5429617426641355
0,0,0.45045790443530764
1,1,0.528155781454285
1,1,0.5574835445193156
0,1,0.5322637328333945
1,1,0.5329800920361243
0,0,0.4589172981661898
0,0,0.4361908234930762
0,0,0.49003064743731706
1,1,0.5204488751873911
1,1,0.517826079717026
1,1,0.5302098169097316
1,0,0.46817504894186285
1,0,0.4982697917205056
1,1,0.5068495941955712
0,1,0.5359315059135146
0,0,0.48833818043133226
1,1,0.5054483391280027
1,1,0.5021056466906882
0,1,0.5301270042757107
0,1,0.5264625012341145
1,1,0.5046306803277453
0,0,0.43311166296601344
1,0,0.44734590620506987
1,1,0.5878057022600719
1,0,0.49106170368131785
0,1,0.5357776259585671
1,1,0.5294008253407568
0,0,0.4986593781125997
0,1,0.5048890228059673
1,1,0.5435160914513242
1,1,0.5552203674620855
0,0,0.44838800601467066
1,1,0.5674698643607594
1,1,0.5451981416113769
0,0,0.47519488453245173
1,1,0.525965136346361
0,1,0.5378352528261883
0,0,0.4891392436432794
1,1,0.5346924909185037
0,0,0.4000675672005094
0,1,0.5300893615674016
1,1,0.5509656153649329
0,1,0.5022810588837491
0,1,0.5319350084463462
1,1,0.5092870413420663
0,1,0.5276581934467416
1,1,0.5419679483466063
1,1,0.5048881753873359
1,1,0.5414400069732883
1,1,0.5586837254491034
0,1,0.5018130370678044
0,0,0.4756775988722084
1,0,0.46302692577486776
1,0,0.4945603438289969
1,1,0.5121057342779576
1,1,0.5299729614923652
1,1,0.5222906842878615
0,1,0.5094768480401121
0,0,0.4742633437355922
1,1,0.551326922786884
0,1,0.5055266413721242
0,1,0.5311741325192488
0,0,0.4652587787578193
0,1,0.539974804096136
0,1,0.5579279735723157
1,1,0.6453393872672626
1,1,0.5626390211547713
0,0,0.49550390356912166
0,1,0.5556146616288844
0,1,0.5351136002182324
1,0,0.46439413865790335
1,1,0.5158244934730076
0,1,0.5306898692093998
1,1,0.5663850230033662
0,1,0.500634048614082
0,1,0.5393491061515313
0,1,0.5480538071937161
1,1,0.5213262041520397
1,1,0.5224269078423532
1,1,0.5345796830737477
0,1,0.5493854370834554
0,1,0.5484392177174088
0,1,0.5360104846090689
1,1,0.5121649910656392
0,1,0.5124059688497592
0,0,0.4956539905558914
1,1,0.5289668353731465
0,0,0.4939519669161937
1,1,0.5359361255001925
1,1,0.5344902367693457
1,0,0.4868694387517439
0,1,0.5768851357365494
0,1,0.5261704929677741
1,0,0.46604370972388276
1,0,0.4905683124591219
0,1,0.5211926237063643
1,1,0.5364918222273651
1,1,0.5053251971483276
0,1,0.5512899422278743
0,1,0.5537470449492006
0,1,0.5050058221756071
0,1,0.5018161998186963
0,1,0.545800533544216
0,1,0.5426825037368589
1,1,0.5544840254876944
1,1,0.5419027409190602
0,1,0.5648922383917054
1,1,0.5053289570050159
1,0,0.49169427877498856
1,1,0.5390310751596056
1,1,0.5391460495745499
1,1,0.514824353188906
0,1,0.5402966443069142
1,1,0.5233490083158436
0,1,0.5045778849860993
1,1,0.5125498165039744
1,1,0.508875759431008
0,1,0.5595426073348406
0,1,0.5652485092402605
0,0,0.49334348378881954
1,1,0.5357938257019611
0,0,0.49002149495925695
1,1,0.5287242878529067
1,1,0.5672211658918128
0,0,0.44300008033487737
0,1,0.5524034990048999
1,0,0.4407150076380759
1,0,0.44346417808945005
1,1,0.5133790661071793
0,1,0.5480167661611443
1,1,0.560172954703361
1,1,0.5312527001029013
1,0,0.4972060550223148
1,1,0.5158917236911791
1,1,0.5090243182262977
0,0,0.4958422065525565
0,0,0.4444816003217521
1,0,0.46481871091649063
1,1,0.51072158573823
0,1,0.5350034072482265
1,1,0.5206879603048428
0,1,0.5369381665578661
0,0,0.49426266038178496
0,1,0.524948319239551
0,0,0.4987790374367061
0,1,0.5450906480206141
1,1,0.6245884784391348
1,1,0.5392662747402691
0,1,0.5666450772394691
0,0,0.168369382738158
0,0,0.21917876581890755
0,0,0.42255382591499524
1,1,0.5216209775437024
1,1,0.5012466461595032
0,1,0.5364975699886539
0,1,0.5122966064774984
0,1,0.5471148941805116
1,1,0.5529175714491799
0,1,0.562095826798236
1,1,0.5585301220811063
1,1,0.5495512959429111
0,1,0.5339843122562928
0,1,0.5465931021406142
1,1,0.5406627468925341
1,1,0.5329331892594334
0,1,0.5533209117447087
1,1,0.6069345160003032
1,1,0.5082721193095118
0,0,0.485792211571709
1,1,0.5060772553551538
1,0,0.48338259725595806
1,0,0.474635399666261
1,1,0.5122870602569849
1,1,0.5523013817739659
0,1,0.5502594230888355
0,0,0.49482280768988984
1,0,0.4699857828739759
1,1,0.5061993583505346
0,1,0.5166364722727049
1,1,0.53157428595068
1,1,0.544030957806444
1,0,0.4953733363520203
1,1,0.5435957458284438
1,1,0.5338837759592071
0,1,0.5155892661957986
1,1,0.5387959816141606
0,1,0.505792858177766
0,1,0.5271320935795748
1,0,0.49214807349001455
1,0,0.4411293599722683
0,1,0.5401203504567011
0,1,0.5417083245465112
0,0,0.47702886263409233
1,0,0.49935196346644267
1,1,0.5304671442054222
1,1,0.5359395460099126
1,1,0.5689758834715475
0,1,0.5203332681466811
0,0,0.455064322223457
1,0,0.47983655021492944
0,0,0.4960186596414578
1,1,0.5264416281034279
1,1,0.5013201022306792
0,1,0.5463044644789689
0,0,0.4898551315181355
0,1,0.5550287918218264
0,0,0.4434881754440098
0,1,0.5160557200169607
1,0,0.4957930590528919
0,1,0.5453733394675389
0,1,0.5532153805288467
1,1,0.5583799949339254
0,1,0.5506123685552138
1,1,0.5783228531946412
1,1,0.5378096943489378
1,1,0.5650145889572907
1,1,0.5649190968332074
0,1,0.5345875813515164
1,1,0.5103938955040523
1,1,0.5187393891202539
0,1,0.5046560576033766
0,1,0.5252956502373354
1,1,0.5847737274183508
0,1,0.518244780904948
0,1,0.5456854888664603
0,1,0.5744837100390429
1,0,0.4795599426291104
1,1,0.5797265741784632
0,1,0.5197572772198569
1,1,0.554810375651457
1,1,0.5510101801438331
1,1,0.508875401064167
1,1,0.5320996889328876
0,1,0.555980651770361
0,1,0.5138562763208251
0,1,0.5167238768349403
0,1,0.5137848802685075
0,1,0.5237925627886739
0,1,0.5276578582313818
0,1,0.5338023231850195
1,1,0.5619633795480917
1,1,0.5496979826735174
