symbol,rows,coverage_pct,open_pct,high_pct,low_pct,close_pct,volume_pct,vwap_pct,trade_count_pct
KLAC,11898,0.6053113553113553,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CRL,11970,0.6089743589743589,0.0,0.0,0.0,0.0,0.0,1.0,1.0
FOX,12111,0.6161477411477412,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SOLV,12173,0.6193019943019943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,12193,0.6203194953194954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRMN,12210,0.6211843711843712,0.0,0.0,0.0,0.0,0.0,1.0,1.0
VRSK,12212,0.6212861212861213,0.0,0.0,0.0,0.0,0.0,1.0,1.0
J,12228,0.6221001221001221,0.0,0.0,0.0,0.0,0.0,1.0,1.0
TSLA,12332,0.6273911273911273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMZN,12342,0.6278998778998779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,12342,0.6278998778998779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVDA,12441,0.6329365079365079,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMD,12446,0.6331908831908832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAC,12471,0.6344627594627594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATO,12473,0.6345645095645096,0.0,0.0,0.0,0.0,0.0,1.0,1.0
NOC,12590,0.6405168905168905,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GOOGL,12593,0.6406695156695157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLTR,12599,0.640974765974766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAA,12619,0.641992266992267,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MCK,12665,0.6443325193325193,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DVA,12684,0.6452991452991453,0.0,0.0,0.0,0.0,0.0,1.0,1.0
PFE,12693,0.6457570207570208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAYC,12718,0.647028897028897,0.0,0.0,0.0,0.0,0.0,1.0,1.0
UBER,12729,0.6475885225885226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRSN,12746,0.6484533984533984,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CMCSA,12825,0.6524725274725275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LH,12910,0.6567969067969068,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GL,12924,0.6575091575091575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMT,12940,0.6583231583231584,0.0,0.0,0.0,0.0,0.0,1.0,1.0
WFC,12943,0.6584757834757835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSCO,13007,0.6617317867317868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MU,13075,0.6651912901912902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALLE,13267,0.6749592999592999,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CMI,13267,0.6749592999592999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL,13291,0.6761803011803011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLB,13316,0.6774521774521775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCX,13320,0.6776556776556777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEV,13320,0.6776556776556777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VZ,13354,0.6793854293854293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XOM,13366,0.67999592999593,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MHK,13385,0.680962555962556,0.0,0.0,0.0,0.0,0.0,1.0,1.0
AJG,13438,0.6836589336589337,0.0,0.0,0.0,0.0,0.0,1.0,1.0
QCOM,13440,0.6837606837606838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,13446,0.6840659340659341,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDW,13485,0.686050061050061,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BMY,13524,0.688034188034188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,13527,0.6881868131868132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,13548,0.6892551892551892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRCX,13549,0.6893060643060643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,13569,0.6903235653235653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UHS,13628,0.6933251933251934,0.0,0.0,0.0,0.0,0.0,1.0,1.0
WMT,13656,0.6947496947496947,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFG,13665,0.6952075702075702,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MSFT,13697,0.6968355718355719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOV,13710,0.6974969474969475,0.0,0.0,0.0,0.0,0.0,1.0,1.0
NEE,13838,0.704008954008954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKE,13840,0.7041107041107041,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PODD,13840,0.7041107041107041,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HAL,13856,0.7049247049247049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDOS,13861,0.7051790801790802,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GOOG,13862,0.7052299552299552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,13882,0.7062474562474562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DGX,13883,0.7062983312983313,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CVS,13893,0.7068070818070818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TKO,13926,0.7084859584859585,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CPT,13927,0.7085368335368335,0.0,0.0,0.0,0.0,0.0,1.0,1.0
VMC,13939,0.7091473341473341,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CSX,13994,0.7119454619454619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWR,13996,0.712047212047212,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ALGN,14007,0.7126068376068376,0.0,0.0,0.0,0.0,0.0,1.0,1.0
META,14012,0.7128612128612128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNPS,14022,0.7133699633699634,0.0,0.0,0.0,0.0,0.0,1.0,1.0
AOS,14034,0.713980463980464,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LHX,14062,0.7154049654049655,0.0,0.0,0.0,0.0,0.0,1.0,1.0
PYPL,14065,0.7155575905575906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KVUE,14081,0.7163715913715913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPE,14089,0.7167785917785918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBOE,14092,0.716931216931217,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GPC,14163,0.7205433455433455,0.0,0.0,0.0,0.0,0.0,1.0,1.0
PTC,14170,0.7208994708994709,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DIS,14180,0.7214082214082214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBD,14245,0.7247150997150997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOW,14260,0.7254782254782255,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MTB,14329,0.728988603988604,0.0,0.0,0.0,0.0,0.0,1.0,1.0
VRTX,14372,0.7311762311762312,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GD,14389,0.732041107041107,0.0,0.0,0.0,0.0,0.0,1.0,1.0
NCLH,14398,0.7324989824989825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHW,14404,0.7328042328042328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COO,14429,0.7340761090761091,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ECL,14453,0.7352971102971103,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SBUX,14473,0.7363146113146113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMD,14484,0.7368742368742369,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MRK,14494,0.7373829873829874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RVTY,14509,0.7381461131461131,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SPGI,14521,0.7387566137566137,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ROK,14524,0.7389092389092389,0.0,0.0,0.0,0.0,0.0,1.0,1.0
PNW,14529,0.7391636141636142,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EMN,14540,0.7397232397232397,0.0,0.0,0.0,0.0,0.0,1.0,1.0
TXT,14546,0.74002849002849,0.0,0.0,0.0,0.0,0.0,1.0,1.0
WBA,14569,0.7411986161986162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRU,14583,0.7419108669108669,0.0,0.0,0.0,0.0,0.0,1.0,1.0
RSG,14593,0.7424196174196174,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ELV,14598,0.7426739926739927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,14638,0.7447089947089947,0.0,0.0,0.0,0.0,0.0,1.0,1.0
RL,14645,0.74506512006512,0.0,0.0,0.0,0.0,0.0,1.0,1.0
WAB,14673,0.7464896214896215,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EFX,14740,0.7498982498982499,0.0,0.0,0.0,0.0,0.0,1.0,1.0
COST,14743,0.7500508750508751,0.0,0.0,0.0,0.0,0.0,1.0,1.0
NEM,14757,0.7507631257631258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDDY,14781,0.751984126984127,0.0,0.0,0.0,0.0,0.0,1.0,1.0
AVGO,14833,0.7546296296296297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,14835,0.7547313797313797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
