symbol,days,bars_found_total,bars_expected_total,pct_coverage,outlier_ret_count,outlier_vol_count,rows,ohlc_violations,vwap_outside,neg_volume_rows,nan_open,nan_high,nan_low,nan_close,nan_volume,nan_vwap,nan_trade_count,year,month
TFC,21,1630,1638,0.9951159951159951,10,0,1630,0,0,0,,,,,,,,2024,1
CRM,21,1630,1638,0.9951159951159951,10,0,1630,0,0,0,,,,,,,,2024,1
ON,21,1630,1638,0.9951159951159951,10,0,1630,0,0,0,,,,,,,,2024,1
MO,21,1629,1638,0.9945054945054945,8,0,1629,0,0,0,,,,,,,,2024,1
MS,21,1629,1638,0.9945054945054945,10,1,1629,0,0,0,,,,,,,,2024,1
KIM,21,1629,1638,0.9945054945054945,10,0,1629,0,0,0,,,,,,,,2024,1
HBAN,21,1628,1638,0.9938949938949939,11,0,1628,0,0,0,,,,,,,,2024,1
SBUX,21,1627,1638,0.9932844932844933,10,0,1627,0,0,0,,,,,,,,2024,1
MDLZ,21,1627,1638,0.9932844932844933,6,0,1627,0,0,0,,,,,,,,2024,1
MRK,21,1627,1638,0.9932844932844933,10,0,1627,0,0,0,,,,,,,,2024,1
WMB,21,1627,1638,0.9932844932844933,6,0,1627,0,0,0,,,,,,,,2024,1
CTRA,21,1626,1638,0.9926739926739927,10,0,1626,0,0,0,,,,,,,,2024,1
TMUS,21,1626,1638,0.9926739926739927,14,0,1626,0,0,0,,,,,,,,2024,1
GILD,21,1625,1638,0.9920634920634921,9,0,1625,0,0,0,,,,,,,,2024,1
KHC,21,1624,1638,0.9914529914529915,9,0,1624,0,0,0,,,,,,,,2024,1
EQT,21,1624,1638,0.9914529914529915,7,0,1624,0,0,0,,,,,,,,2024,1
HST,21,1624,1638,0.9914529914529915,11,0,1624,0,0,0,,,,,,,,2024,1
LVS,21,1623,1638,0.9908424908424909,17,0,1623,0,0,0,,,,,,,,2024,1
V,21,1623,1638,0.9908424908424909,13,0,1623,0,0,0,,,,,,,,2024,1
CL,21,1623,1638,0.9908424908424909,11,0,1623,0,0,0,,,,,,,,2024,1
DVN,21,1622,1638,0.9902319902319903,11,0,1622,0,0,0,,,,,,,,2024,1
MDT,21,1622,1638,0.9902319902319903,9,0,1622,0,0,0,,,,,,,,2024,1
BX,21,1622,1638,0.9902319902319903,10,0,1622,0,0,0,,,,,,,,2024,1
TXN,21,1622,1638,0.9902319902319903,13,0,1622,0,0,0,,,,,,,,2024,1
RTX,21,1621,1638,0.9896214896214897,10,0,1621,0,0,0,,,,,,,,2024,1
DDOG,21,1621,1638,0.9896214896214897,11,0,1621,0,0,0,,,,,,,,2024,1
FITB,21,1620,1638,0.989010989010989,11,0,1620,0,0,0,,,,,,,,2024,1
MTCH,21,1619,1638,0.9884004884004884,14,0,1619,0,0,0,,,,,,,,2024,1
AMAT,21,1619,1638,0.9884004884004884,16,0,1619,0,0,0,,,,,,,,2024,1
VICI,21,1619,1638,0.9884004884004884,9,0,1619,0,0,0,,,,,,,,2024,1
PEP,21,1618,1638,0.9877899877899878,5,0,1618,0,0,0,,,,,,,,2024,1
O,21,1617,1638,0.9871794871794872,7,0,1617,0,0,0,,,,,,,,2024,1
ORCL,21,1617,1638,0.9871794871794872,6,0,1617,0,0,0,,,,,,,,2024,1
WDC,21,1617,1638,0.9871794871794872,13,0,1617,0,0,0,,,,,,,,2024,1
AES,21,1616,1638,0.9865689865689866,10,0,1616,0,0,0,,,,,,,,2024,1
ABT,21,1616,1638,0.9865689865689866,17,0,1616,0,0,0,,,,,,,,2024,1
CAG,21,1612,1638,0.9841269841269841,9,0,1612,0,0,0,,,,,,,,2024,1
EW,21,1612,1638,0.9841269841269841,10,0,1612,0,0,0,,,,,,,,2024,1
SYF,21,1611,1638,0.9835164835164835,16,0,1611,0,0,0,,,,,,,,2024,1
TTD,21,1611,1638,0.9835164835164835,12,0,1611,0,0,0,,,,,,,,2024,1
FAST,21,1610,1638,0.9829059829059829,10,0,1610,0,0,0,,,,,,,,2024,1
DOC,21,1610,1638,0.9829059829059829,18,0,1610,0,0,0,,,,,,,,2024,1
MCHP,21,1610,1638,0.9829059829059829,9,0,1610,0,0,0,,,,,,,,2024,1
DHR,21,1609,1638,0.9822954822954822,15,0,1609,0,0,0,,,,,,,,2024,1
GLW,21,1608,1638,0.9816849816849816,11,0,1608,0,0,0,,,,,,,,2024,1
ABNB,21,1607,1638,0.981074481074481,11,0,1607,0,0,0,,,,,,,,2024,1
MPC,21,1607,1638,0.981074481074481,8,0,1607,0,0,0,,,,,,,,2024,1
DOW,21,1606,1638,0.9804639804639804,9,0,1606,0,0,0,,,,,,,,2024,1
NRG,21,1606,1638,0.9804639804639804,3,1,1606,0,0,0,,,,,,,,2024,1
FDX,21,1605,1638,0.9798534798534798,11,0,1605,0,0,0,,,,,,,,2024,1
IVZ,21,1605,1638,0.9798534798534798,14,0,1605,0,0,0,,,,,,,,2024,1
PPL,21,1605,1638,0.9798534798534798,6,0,1605,0,0,0,,,,,,,,2024,1
BA,21,1605,1638,0.9798534798534798,15,0,1605,0,0,0,,,,,,,,2024,1
COP,21,1604,1638,0.9792429792429792,9,0,1604,0,0,0,,,,,,,,2024,1
PG,21,1604,1638,0.9792429792429792,14,0,1604,0,0,0,,,,,,,,2024,1
MGM,21,1602,1638,0.978021978021978,10,0,1602,0,0,0,,,,,,,,2024,1
CFG,21,1600,1638,0.9768009768009768,14,0,1600,0,0,0,,,,,,,,2024,1
SO,21,1600,1638,0.9768009768009768,5,0,1600,0,0,0,,,,,,,,2024,1
D,21,1599,1638,0.9761904761904762,11,0,1599,0,0,0,,,,,,,,2024,1
COF,21,1597,1638,0.974969474969475,10,0,1597,0,0,0,,,,,,,,2024,1
NFLX,21,1597,1638,0.974969474969475,10,0,1597,0,0,0,,,,,,,,2024,1
FIS,21,1597,1638,0.974969474969475,5,0,1597,0,0,0,,,,,,,,2024,1
WMT,21,1597,1638,0.974969474969475,8,0,1597,0,0,0,,,,,,,,2024,1
DELL,21,1597,1638,0.974969474969475,14,0,1597,0,0,0,,,,,,,,2024,1
FE,21,1597,1638,0.974969474969475,6,0,1597,0,0,0,,,,,,,,2024,1
CPRT,21,1596,1638,0.9743589743589743,8,0,1596,0,0,0,,,,,,,,2024,1
ABBV,21,1596,1638,0.9743589743589743,5,0,1596,0,0,0,,,,,,,,2024,1
ENPH,21,1595,1638,0.9737484737484737,12,0,1595,0,0,0,,,,,,,,2024,1
TPR,21,1595,1638,0.9737484737484737,9,0,1595,0,0,0,,,,,,,,2024,1
XEL,21,1595,1638,0.9737484737484737,6,0,1595,0,0,0,,,,,,,,2024,1
GIS,21,1592,1638,0.9719169719169719,10,0,1592,0,0,0,,,,,,,,2024,1
PM,21,1592,1638,0.9719169719169719,11,0,1592,0,0,0,,,,,,,,2024,1
KR,21,1591,1638,0.9713064713064713,8,0,1591,0,0,0,,,,,,,,2024,1
MOS,21,1590,1638,0.9706959706959707,8,0,1590,0,0,0,,,,,,,,2024,1
WEC,21,1590,1638,0.9706959706959707,6,0,1590,0,0,0,,,,,,,,2024,1
EL,21,1589,1638,0.9700854700854701,13,0,1589,0,0,0,,,,,,,,2024,1
ES,21,1589,1638,0.9700854700854701,7,0,1589,0,0,0,,,,,,,,2024,1
