feature
ret_lag1
ret_lag2
ret_lag3
ret_lag4
ret_lag5
roll_vol20
range_pct
roll_range20
vol_surp
vwap_close
minute_sin
minute_cos
mkt_ret_lag1
ret
isna_vwap
isna_trade
dow_0
dow_1
dow_2
dow_3
dow_4
